code,families,row_count
Gazari Blue,"{Pink,Blue}",1
Gazari Brown,"{Pink,Brown/Beige}",1
Gazari Cream,"{Pink,White/Cream}",1
Gazari Fawn,"{Pink,Brown/Beige}",1
Gazari Green,"{Pink,Green}",1
Gazari Navy Blue,"{Pink,Blue}",1
Gazari Pink,{Pink},1
Gazari Yellow,"{Pink,Yellow}",1
Gazri Blue,"{Pink,Blue}",1
Gold,{Gold/Metallic},1
Golden Dust Pink,"{Pink,Gold/Metallic}",1
Golden Fawn,"{Gold/Metallic,Brown/Beige}",1
Golden Firozi,"{Gold/Metallic,Blue}",1
Golden Gazari,"{Gold/Metallic,Pink}",1
Golden Green,"{Gold/Metallic,Green}",1
Golden Light Green,"{Gold/Metallic,Green}",1
Golden Mustard,"{Gold/Metallic,Yellow}",1
Golden Navy Blue,"{Gold/Metallic,Blue}",1
Golden Off White,"{Gold/Metallic,White/Cream}",1
Golden Peach,"{Gold/Metallic,Peach}",1
Golden Pink,"{Gold/Metallic,Pink}",1
Golden Rama Green,"{Gold/Metallic,Green}",1
Golden Wine,"{Gold/Metallic,Maroon/Wine}",1
Green & Black,"{Green,Black}",1
Green Magenta,"{Green,Pink}",1
Green Navy Blue,"{Green,Blue}",1
Grey Black,"{Grey,Black}",1
Grey Brown,"{Grey,Brown/Beige}",1
Grey Check,"{Grey,Multi/Printed}",1
Grey Green,"{Grey,Green}",1
Grey Light,{Grey},1
Grey Magenta,"{Grey,Pink}",1
Grey Maroon,"{Grey,Maroon/Wine}",1
Grey With Golden Beads,"{Grey,Gold/Metallic}",1
Light Mehndi Green,{Green},1
Light Sea Green,{Green},1
Magenta Mustard,"{Pink,Yellow}",1
Magenta Off White,"{Pink,White/Cream}",1
Magenta Orange,"{Pink,Orange}",1
Magenta Pink,{Pink},1
Magenta Red,"{Pink,Red}",1
Maroon Black,"{Maroon/Wine,Black}",1
Maroon Blue,"{Maroon/Wine,Blue}",1
Maroon Golden,"{Maroon/Wine,Gold/Metallic}",1
Maroon Navy Blue,"{Maroon/Wine,Blue}",1
Mauve Pink,"{Purple,Pink}",1
Mehendi Green - Pink,"{Green,Pink}",1
Mehndi Blue,"{Green,Blue}",1
Metallic Grey,"{Grey,Gold/Metallic}",1
Moongai,{Green},1
Multi Red,"{Multi/Printed,Red}",1
Multi White,"{Multi/Printed,White/Cream}",1
Multi Yellow,"{Multi/Printed,Yellow}",1
Mustard Black,"{Yellow,Black}",1
Mustard Blue,"{Yellow,Blue}",1
Mustard Brown,"{Yellow,Brown/Beige}",1
Mustard Magenta,"{Yellow,Pink}",1
Mustard Orange,"{Yellow,Orange}",1
Navy Blue Blue,{Blue},1
Navy Blue Gray,"{Blue,Grey}",1
Navy Blue Lining,{Blue},1
Navy Blue Mehendi Green,"{Blue,Green}",1
Navy Blue Pink,"{Blue,Pink}",1
Navy Blue Red,"{Blue,Red}",1
Navy Check,"{Blue,Multi/Printed}",1
Navy Mustard,"{Blue,Yellow}",1
Off White Black,"{White/Cream,Black}",1
Off White Coffe,{White/Cream},1
Off White Coffee,"{White/Cream,Brown/Beige}",1
Off White Gazari,"{White/Cream,Pink}",1
